nameWithOwner,stargazerCount,forkCount,url,createdAt,releaseCount
libgdx/libgdx,23843,6476,https://github.com/libgdx/libgdx,2012-08-10T19:34:38Z,
bazelbuild/bazel,23809,4157,https://github.com/bazelbuild/bazel,2014-06-12T16:00:38Z,
jenkinsci/jenkins,23772,9006,https://github.com/jenkinsci/jenkins,2010-11-22T21:21:23Z,
redisson/redisson,23687,5422,https://github.com/redisson/redisson,2014-01-11T14:06:25Z,
google/gson,23630,4312,https://github.com/google/gson,2015-03-19T18:21:20Z,
Anuken/Mindustry,23496,3046,https://github.com/Anuken/Mindustry,2017-04-30T01:24:29Z,
OpenAPITools/openapi-generator,23178,6822,https://github.com/OpenAPITools/openapi-generator,2018-05-12T09:57:56Z,
alibaba/Sentinel,22633,8070,https://github.com/alibaba/Sentinel,2018-04-04T06:37:33Z,
doocs/source-code-hunter,22565,4172,https://github.com/doocs/source-code-hunter,2019-10-28T01:35:10Z,
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,22250,773,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,2012-11-24T00:14:41Z,
yuliskov/SmartTube,21906,1178,https://github.com/yuliskov/SmartTube,2020-07-28T12:53:52Z,
google/ExoPlayer,21806,6036,https://github.com/google/ExoPlayer,2014-06-13T21:19:18Z,
ashishps1/awesome-system-design-resources,21734,5200,https://github.com/ashishps1/awesome-system-design-resources,2023-10-25T01:50:42Z,
apache/rocketmq,21638,11811,https://github.com/apache/rocketmq,2016-11-30T08:00:08Z,
iBotPeaches/Apktool,21573,3682,https://github.com/iBotPeaches/Apktool,2012-03-19T17:46:53Z,
elunez/eladmin,21557,7383,https://github.com/elunez/eladmin,2018-12-14T08:54:24Z,
CodePhiliaX/Chat2DB,21513,2363,https://github.com/CodePhiliaX/Chat2DB,2023-06-20T14:05:26Z,
oracle/graal,20732,1683,https://github.com/oracle/graal,2016-01-14T17:11:35Z,
openjdk/jdk,20662,5759,https://github.com/openjdk/jdk,2018-09-17T12:29:20Z,
CarGuo/GSYVideoPlayer,20607,4242,https://github.com/CarGuo/GSYVideoPlayer,2016-11-13T12:34:31Z,
conductor-oss/conductor,20389,556,https://github.com/conductor-oss/conductor,2023-12-08T06:06:09Z,
brettwooldridge/HikariCP,20327,2971,https://github.com/brettwooldridge/HikariCP,2013-10-08T05:43:03Z,
didi/DoKit,20290,3145,https://github.com/didi/DoKit,2018-08-14T10:32:07Z,
apache/shardingsphere,20127,6785,https://github.com/apache/shardingsphere,2016-01-18T12:49:26Z,
mybatis/mybatis-3,20011,12923,https://github.com/mybatis/mybatis-3,2013-02-14T19:03:32Z,
ReactiveX/RxAndroid,19863,2947,https://github.com/ReactiveX/RxAndroid,2014-08-19T03:46:38Z,
dataease/dataease,19678,3508,https://github.com/dataease/dataease,2021-02-02T04:10:21Z,
linlinjava/litemall,19556,7260,https://github.com/linlinjava/litemall,2018-03-22T16:42:30Z,
LSPosed/LSPosed,19523,3191,https://github.com/LSPosed/LSPosed,2020-12-12T08:39:37Z,
yudaocode/SpringBoot-Labs,19476,6079,https://github.com/yudaocode/SpringBoot-Labs,2018-09-12T14:51:46Z,
Baseflow/PhotoView,18833,3930,https://github.com/Baseflow/PhotoView,2012-07-17T16:39:00Z,
dianping/cat,18816,5429,https://github.com/dianping/cat,2012-12-05T02:31:48Z,
kunal-kushwaha/DSA-Bootcamp-Java,18618,11752,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,2021-07-30T12:23:25Z,
thingsboard/thingsboard,18487,5460,https://github.com/thingsboard/thingsboard,2016-12-01T09:33:30Z,
forezp/SpringCloudLearning,17923,8057,https://github.com/forezp/SpringCloudLearning,2017-04-08T10:06:56Z,
williamfiset/Algorithms,17769,4443,https://github.com/williamfiset/Algorithms,2017-03-18T02:50:46Z,
JetBrains/intellij-community,17762,5365,https://github.com/JetBrains/intellij-community,2011-09-30T13:33:05Z,
antlr/antlr4,17723,3340,https://github.com/antlr/antlr4,2010-02-04T01:36:28Z,
LMAX-Exchange/disruptor,17683,3938,https://github.com/LMAX-Exchange/disruptor,2012-09-21T13:42:24Z,
Tencent/APIJSON,17580,2194,https://github.com/Tencent/APIJSON,2016-11-21T12:03:29Z,
Tencent/tinker,17259,3346,https://github.com/Tencent/tinker,2016-09-06T06:57:52Z,
dromara/Sa-Token,17232,2675,https://github.com/dromara/Sa-Token,2020-02-03T10:34:29Z,
openzipkin/zipkin,17150,3103,https://github.com/openzipkin/zipkin,2012-06-06T18:26:16Z,
facebook/fresco,17099,3758,https://github.com/facebook/fresco,2015-03-02T09:58:04Z,
YunaiV/yudao-cloud,16927,4192,https://github.com/YunaiV/yudao-cloud,2019-05-02T16:06:49Z,
infinilabs/analysis-ik,16881,3291,https://github.com/infinilabs/analysis-ik,2011-12-16T09:01:45Z,
justauth/JustAuth,16814,2795,https://github.com/justauth/JustAuth,2019-01-31T09:42:20Z,
nostra13/Android-Universal-Image-Loader,16776,6086,https://github.com/nostra13/Android-Universal-Image-Loader,2011-11-27T18:48:23Z,
winterbe/java8-tutorial,16773,4046,https://github.com/winterbe/java8-tutorial,2014-03-16T17:25:43Z,
baomidou/mybatis-plus,16732,4345,https://github.com/baomidou/mybatis-plus,2016-08-18T10:06:53Z,
shuzheng/zheng,16713,7360,https://github.com/shuzheng/zheng,2016-10-04T10:07:06Z,
material-components/material-components-android,16625,3118,https://github.com/material-components/material-components-android,2016-12-05T16:11:29Z,
kestra-io/kestra,16553,1397,https://github.com/kestra-io/kestra,2019-08-24T13:56:15Z,
Grasscutters/Grasscutter,16473,4466,https://github.com/Grasscutters/Grasscutter,2022-04-17T12:43:46Z,
JeffLi1993/springboot-learning-example,16449,7126,https://github.com/JeffLi1993/springboot-learning-example,2017-02-06T07:02:25Z,
ben-manes/caffeine,16413,1626,https://github.com/ben-manes/caffeine,2014-12-13T08:45:11Z,
alibaba/DataX,16309,5510,https://github.com/alibaba/DataX,2018-01-18T10:09:47Z,
heibaiying/BigData-Notes,16285,4274,https://github.com/heibaiying/BigData-Notes,2019-03-10T01:40:01Z,
prestodb/presto,16279,5433,https://github.com/prestodb/presto,2012-08-09T01:03:37Z,
xiaojieonly/Ehviewer_CN_SXJ,16275,442,https://github.com/xiaojieonly/Ehviewer_CN_SXJ,2020-11-09T06:14:31Z,
dyc87112/SpringBoot-Learning,15771,4879,https://github.com/dyc87112/SpringBoot-Learning,2016-08-21T03:39:06Z,
android-hacker/VirtualXposed,15629,2505,https://github.com/android-hacker/VirtualXposed,2017-12-01T09:00:58Z,
gyoogle/tech-interview-for-developer,15538,3522,https://github.com/gyoogle/tech-interview-for-developer,2019-06-09T04:42:57Z,
android10/Android-CleanArchitecture,15534,3314,https://github.com/android10/Android-CleanArchitecture,2014-08-19T14:09:26Z,
mockito/mockito,15091,2603,https://github.com/mockito/mockito,2012-10-13T20:27:12Z,
questdb/questdb,15002,1219,https://github.com/questdb/questdb,2014-04-28T23:29:15Z,
apache/hadoop,14999,9020,https://github.com/apache/hadoop,2014-08-28T07:00:08Z,
Konloch/bytecode-viewer,14912,1172,https://github.com/Konloch/bytecode-viewer,2014-10-14T10:26:46Z,
zhisheng17/flink-learning,14701,3926,https://github.com/zhisheng17/flink-learning,2019-01-01T07:38:28Z,
hdodenhof/CircleImageView,14546,3115,https://github.com/hdodenhof/CircleImageView,2014-01-17T16:44:46Z,
apache/pulsar,14507,3624,https://github.com/apache/pulsar,2016-06-28T07:00:03Z,
Tencent/QMUI_Android,14475,2677,https://github.com/Tencent/QMUI_Android,2017-04-21T10:03:18Z,
alibaba/ARouter,14473,2616,https://github.com/alibaba/ARouter,2016-12-14T01:27:49Z,
eclipse-vertx/vert.x,14440,2088,https://github.com/eclipse-vertx/vert.x,2011-06-17T14:54:55Z,
elastic/logstash,14392,3516,https://github.com/elastic/logstash,2010-11-18T01:31:50Z,
java-decompiler/jd-gui,14385,2419,https://github.com/java-decompiler/jd-gui,2015-03-25T05:28:41Z,
arduino/Arduino,14288,6996,https://github.com/arduino/Arduino,2010-09-17T19:10:36Z,
quarkusio/quarkus,14243,2791,https://github.com/quarkusio/quarkus,2018-07-06T00:44:20Z,
neo4j/neo4j,13996,2419,https://github.com/neo4j/neo4j,2012-11-12T08:46:15Z,
supertokens/supertokens-core,13975,568,https://github.com/supertokens/supertokens-core,2020-01-05T13:30:52Z,
deeplearning4j/deeplearning4j,13881,3846,https://github.com/deeplearning4j/deeplearning4j,2013-11-27T02:03:28Z,
orhanobut/logger,13849,2140,https://github.com/orhanobut/logger,2015-03-20T22:30:12Z,
GoogleContainerTools/jib,13842,1441,https://github.com/GoogleContainerTools/jib,2018-01-22T18:30:43Z,
theonedev/onedev,13790,883,https://github.com/theonedev/onedev,2018-11-06T02:57:01Z,
Netflix/zuul,13657,2408,https://github.com/Netflix/zuul,2013-03-13T18:53:57Z,
apache/druid,13645,3731,https://github.com/apache/druid,2012-10-23T19:08:07Z,
Curzibn/Luban,13631,2247,https://github.com/Curzibn/Luban,2016-07-24T07:43:21Z,
seaswalker/spring-analysis,13609,4183,https://github.com/seaswalker/spring-analysis,2016-09-09T07:46:32Z,
JessYanCoding/AndroidAutoSize,13593,1988,https://github.com/JessYanCoding/AndroidAutoSize,2018-08-17T09:04:19Z,
pinpoint-apm/pinpoint,13550,3775,https://github.com/pinpoint-apm/pinpoint,2014-10-20T09:27:22Z,
tink-crypto/tink,13525,1184,https://github.com/tink-crypto/tink,2014-06-06T16:21:09Z,
lgvalle/Material-Animations,13514,2471,https://github.com/lgvalle/Material-Animations,2015-03-08T20:54:00Z,
Bigkoo/Android-PickerView,13471,3457,https://github.com/Bigkoo/Android-PickerView,2014-12-28T01:46:38Z,
sqshq/piggymetrics,13426,6197,https://github.com/sqshq/piggymetrics,2015-03-29T17:56:31Z,
LuckSiege/PictureSelector,13409,3036,https://github.com/LuckSiege/PictureSelector,2017-01-04T07:47:39Z,
zaproxy/zaproxy,13366,2341,https://github.com/zaproxy/zaproxy,2015-06-03T16:55:01Z,
apache/doris,13366,3384,https://github.com/apache/doris,2017-08-10T12:13:30Z,
apache/dolphinscheduler,13341,4736,https://github.com/apache/dolphinscheduler,2019-03-01T16:39:25Z,
DuGuQiuBai/Java,13224,5097,https://github.com/DuGuQiuBai/Java,2015-11-25T07:30:08Z,
janishar/mit-deep-learning-book-pdf,13215,2775,https://github.com/janishar/mit-deep-learning-book-pdf,2017-04-07T10:46:50Z,
macrozheng/mall-learning,13098,8331,https://github.com/macrozheng/mall-learning,2019-04-12T13:20:31Z,
projectlombok/lombok,13077,2426,https://github.com/projectlombok/lombok,2009-06-08T19:46:41Z,
youth5201314/banner,12976,2523,https://github.com/youth5201314/banner,2016-04-22T05:50:25Z,
languagetool-org/languagetool,12920,1421,https://github.com/languagetool-org/languagetool,2013-08-08T16:37:22Z,
Netflix/conductor,12793,2339,https://github.com/Netflix/conductor,2016-12-07T22:48:42Z,
facebook/stetho,12693,1128,https://github.com/facebook/stetho,2015-01-22T22:34:10Z,
greenrobot/greenDAO,12623,2887,https://github.com/greenrobot/greenDAO,2011-10-22T16:15:14Z,
pxb1988/dex2jar,12599,2148,https://github.com/pxb1988/dex2jar,2015-03-16T09:13:07Z,
google/guice,12584,1670,https://github.com/google/guice,2014-05-28T23:18:53Z,
cryptomator/cryptomator,12575,1084,https://github.com/cryptomator/cryptomator,2014-02-02T00:43:47Z,
