Repository,Stars,LOC,Comments,Releases,Age (years),CBO,DIT,LCOM
JavaGuide,148567,0,0,0,6.88,0,0,0
hello-algo,109849,7707,0,9,2.38,1.87,1.0,4.71
java-design-patterns,90950,34574,0,20,10.63,3.36,1.2,1.87
mall,79384,100903,0,4,6.95,3.93,1.24,1110.8
advanced-java,77187,0,0,1,6.47,0,0,0
spring-boot,76383,137932,0,342,12.43,5.48,1.23,12.99
LeetCodeAnimation,75743,78,0,0,6.3,1.0,1.0,0.0
